Gyro values [b-fr]:  -2.429   2.268  -2.009 | Abs.   3.883 [dps] @ t=         204400[msec]
Gyro values [b-fr]:  -2.275   2.380  -2.863 | Abs.   4.363 [dps] @ t=         205400[msec]
Gyro values [b-fr]:  -2.261   2.401  -4.333 | Abs.   5.445 [dps] @ t=         206600[msec]
Gyro values [b-fr]:  -2.261   2.359  -2.674 | Abs.   4.222 [dps] @ t=         207600[msec]
Gyro values [b-fr]:  -2.331   2.485  -1.722 | Abs.   3.818 [dps] @ t=         208800[msec]
Gyro values [b-fr]:  -2.471   2.296  -2.366 | Abs.   4.120 [dps] @ t=         209800[msec]
Gyro values [b-fr]:  -2.408   2.142  -2.842 | Abs.   4.297 [dps] @ t=         211000[msec]
Gyro values [b-fr]:  -2.338   2.268  -2.268 | Abs.   3.969 [dps] @ t=         212000[msec]
Gyro values [b-fr]:  -2.429   2.219  -3.822 | Abs.   5.043 [dps] @ t=         213200[msec]
Gyro values [b-fr]:  -2.296   2.289  -4.165 | Abs.   5.278 [dps] @ t=         214400[msec]
Gyro values [b-fr]:  -2.366   2.303  -3.479 | Abs.   4.796 [dps] @ t=         215400[msec]
Gyro values [b-fr]:  -2.191   2.303  -4.130 | Abs.   5.212 [dps] @ t=         216600[msec]
Gyro values [b-fr]:  -2.268   2.345  -2.653 | Abs.   4.205 [dps] @ t=         217600[msec]
Gyro values [b-fr]:  -2.464   2.282  -3.108 | Abs.   4.576 [dps] @ t=         218800[msec]
Gyro values [b-fr]:  -2.359   2.345  -2.464 | Abs.   4.139 [dps] @ t=         219800[msec]
Gyro values [b-fr]:  -2.345   2.394  -1.442 | Abs.   3.648 [dps] @ t=         221000[msec]
Gyro values [b-fr]:  -2.373   2.247  -2.093 | Abs.   3.881 [dps] @ t=         222000[msec]
Gyro values [b-fr]:  -2.191   2.422  -2.359 | Abs.   4.029 [dps] @ t=         223200[msec]
Gyro values [b-fr]:  -2.345   2.478  -2.401 | Abs.   4.172 [dps] @ t=         224400[msec]
Gyro values [b-fr]:  -2.485   2.177  -1.043 | Abs.   3.464 [dps] @ t=         225400[msec]
Gyro values [b-fr]:  -2.310   2.198  -1.155 | Abs.   3.391 [dps] @ t=         226600[msec]
Gyro values [b-fr]:  -2.254   2.289  -2.464 | Abs.   4.049 [dps] @ t=         227600[msec]
Gyro values [b-fr]:  -2.170   2.338  -2.436 | Abs.   4.014 [dps] @ t=         228800[msec]
Gyro values [b-fr]:  -2.219   2.233  -1.995 | Abs.   3.727 [dps] @ t=         229800[msec]
Gyro values [b-fr]:  -2.415   2.100  -3.108 | Abs.   4.461 [dps] @ t=         231000[msec]
Gyro values [b-fr]:  -2.373   2.128  -3.920 | Abs.   5.052 [dps] @ t=         232000[msec]
Gyro values [b-fr]:  -2.366   2.310  -3.745 | Abs.   4.996 [dps] @ t=         233200[msec]
Gyro values [b-fr]:  -2.450   2.254  -3.829 | Abs.   5.074 [dps] @ t=         234400[msec]
Gyro values [b-fr]:  -2.366   2.100  -3.311 | Abs.   4.579 [dps] @ t=         235400[msec]
Gyro values [b-fr]:  -2.513   1.981  -2.779 | Abs.   4.238 [dps] @ t=         236600[msec]
Gyro values [b-fr]:  -2.527   2.170  -0.805 | Abs.   3.427 [dps] @ t=         237600[msec]
Gyro values [b-fr]:  -2.373   2.289   0.511 | Abs.   3.336 [dps] @ t=         238800[msec]
Gyro values [b-fr]:  -2.436   2.163  -0.910 | Abs.   3.382 [dps] @ t=         239800[msec]
Gyro values [b-fr]:  -2.443   2.226  -1.666 | Abs.   3.701 [dps] @ t=         241000[msec]
Gyro values [b-fr]:  -2.317   2.415  -2.562 | Abs.   4.215 [dps] @ t=         242000[msec]
Gyro values [b-fr]:  -2.310   2.331  -2.093 | Abs.   3.892 [dps] @ t=         243200[msec]
Gyro values [b-fr]:  -2.324   2.156  -1.883 | Abs.   3.687 [dps] @ t=         244400[msec]
Gyro values [b-fr]:  -2.408   2.184  -2.464 | Abs.   4.079 [dps] @ t=         245400[msec]
Gyro values [b-fr]:  -2.289   2.170  -1.932 | Abs.   3.699 [dps] @ t=         246600[msec]
Gyro values [b-fr]:  -2.149   2.303  -2.282 | Abs.   3.890 [dps] @ t=         247600[msec]
Gyro values [b-fr]:  -2.184   2.219  -2.296 | Abs.   3.869 [dps] @ t=         248800[msec]
Gyro values [b-fr]:  -2.296   2.261  -1.099 | Abs.   3.405 [dps] @ t=         249800[msec]
Gyro values [b-fr]:  -2.492   2.373  -1.295 | Abs.   3.677 [dps] @ t=         251000[msec]
Gyro values [b-fr]:  -2.359   2.261  -2.681 | Abs.   4.227 [dps] @ t=         252200[msec]
Gyro values [b-fr]:  -2.387   2.366  -2.905 | Abs.   4.442 [dps] @ t=         253200[msec]
Gyro values [b-fr]:  -2.457   2.331  -3.535 | Abs.   4.896 [dps] @ t=         254400[msec]
Gyro values [b-fr]:  -2.380   2.142  -4.046 | Abs.   5.160 [dps] @ t=         255400[msec]
Gyro values [b-fr]:  -2.457   2.296  -3.514 | Abs.   4.864 [dps] @ t=         256600[msec]
Gyro values [b-fr]:  -2.527   2.429  -2.457 | Abs.   4.280 [dps] @ t=         257600[msec]
Gyro values [b-fr]:  -2.366   2.415  -3.535 | Abs.   4.891 [dps] @ t=         258800[msec]
