Gyro values [b-fr]:   2.117   2.856 -14.333 | Abs.  14.768 [dps] @ t=         702602[msec]
Gyro values [b-fr]:   2.207   3.066 -13.975 | Abs.  14.477 [dps] @ t=         703802[msec]
Gyro values [b-fr]:   2.170   3.019 -13.887 | Abs.  14.376 [dps] @ t=         704802[msec]
Gyro values [b-fr]:   2.362   2.868 -13.740 | Abs.  14.234 [dps] @ t=         706002[msec]
Gyro values [b-fr]:   2.341   3.112 -13.934 | Abs.  14.468 [dps] @ t=         707002[msec]
Gyro values [b-fr]:   2.387   3.028 -13.982 | Abs.  14.504 [dps] @ t=         708202[msec]
Gyro values [b-fr]:   2.301   2.948 -13.969 | Abs.  14.461 [dps] @ t=         709202[msec]
Gyro values [b-fr]:   2.267   2.994 -14.080 | Abs.  14.573 [dps] @ t=         710402[msec]
Gyro values [b-fr]:   2.325   2.922 -14.217 | Abs.  14.699 [dps] @ t=         711602[msec]
Gyro values [b-fr]:   2.219   3.098 -14.283 | Abs.  14.783 [dps] @ t=         712602[msec]
Gyro values [b-fr]:   2.179   3.161 -14.065 | Abs.  14.579 [dps] @ t=         713802[msec]
Gyro values [b-fr]:   2.236   3.139 -14.030 | Abs.  14.549 [dps] @ t=         714802[msec]
Gyro values [b-fr]:   2.407   3.169 -14.179 | Abs.  14.727 [dps] @ t=         716002[msec]
Gyro values [b-fr]:   2.420   3.031 -14.071 | Abs.  14.596 [dps] @ t=         717002[msec]
Gyro values [b-fr]:   2.312   3.053 -14.103 | Abs.  14.614 [dps] @ t=         718202[msec]
Gyro values [b-fr]:   2.278   2.970 -14.308 | Abs.  14.789 [dps] @ t=         719202[msec]
Gyro values [b-fr]:   2.241   2.817 -14.175 | Abs.  14.625 [dps] @ t=         720402[msec]
Gyro values [b-fr]:   2.367   2.991 -14.038 | Abs.  14.547 [dps] @ t=         721602[msec]
Gyro values [b-fr]:   2.341   3.069 -13.874 | Abs.  14.401 [dps] @ t=         722602[msec]
Gyro values [b-fr]:   2.314   3.098 -13.926 | Abs.  14.453 [dps] @ t=         723802[msec]
Gyro values [b-fr]:   2.410   3.059 -14.094 | Abs.  14.623 [dps] @ t=         724802[msec]
Gyro values [b-fr]:   2.182   3.049 -14.087 | Abs.  14.577 [dps] @ t=         726002[msec]
Gyro values [b-fr]:   2.308   3.110 -14.020 | Abs.  14.545 [dps] @ t=         727002[msec]
