Gyro values [b-fr]:  -0.407  -0.024 -15.801 | Abs.  15.806 [dps] @ t=        1105008[msec]
Gyro values [b-fr]:  -0.368  -0.199 -15.697 | Abs.  15.702 [dps] @ t=        1106208[msec]
Gyro values [b-fr]:  -0.479  -0.210 -15.997 | Abs.  16.005 [dps] @ t=        1107408[msec]
Gyro values [b-fr]:  -0.479  -0.288 -15.937 | Abs.  15.947 [dps] @ t=        1108408[msec]
Gyro values [b-fr]:  -0.530  -0.351 -15.729 | Abs.  15.742 [dps] @ t=        1109608[msec]
Gyro values [b-fr]:  -0.351  -0.426 -16.072 | Abs.  16.081 [dps] @ t=        1110608[msec]
Gyro values [b-fr]:  -0.126  -0.311 -16.117 | Abs.  16.121 [dps] @ t=        1111808[msec]
Gyro values [b-fr]:  -0.232  -0.222 -15.994 | Abs.  15.997 [dps] @ t=        1112808[msec]
Gyro values [b-fr]:  -0.365  -0.388 -15.927 | Abs.  15.936 [dps] @ t=        1114008[msec]
Gyro values [b-fr]:  -0.562  -0.304 -15.998 | Abs.  16.011 [dps] @ t=        1115008[msec]
Gyro values [b-fr]:  -0.516  -0.167 -15.975 | Abs.  15.984 [dps] @ t=        1116208[msec]
Gyro values [b-fr]:  -0.409  -0.200 -16.156 | Abs.  16.162 [dps] @ t=        1117408[msec]
Gyro values [b-fr]:  -0.374  -0.330 -15.969 | Abs.  15.976 [dps] @ t=        1118408[msec]
Gyro values [b-fr]:  -0.542  -0.367 -15.917 | Abs.  15.931 [dps] @ t=        1119608[msec]
Gyro values [b-fr]:  -0.584  -0.259 -15.847 | Abs.  15.860 [dps] @ t=        1120608[msec]
Gyro values [b-fr]:  -0.495  -0.290 -15.875 | Abs.  15.885 [dps] @ t=        1121808[msec]
Gyro values [b-fr]:  -0.475  -0.360 -15.859 | Abs.  15.871 [dps] @ t=        1122808[msec]
Gyro values [b-fr]:  -0.479  -0.339 -15.630 | Abs.  15.641 [dps] @ t=        1124008[msec]
Gyro values [b-fr]:  -0.555  -0.203 -15.683 | Abs.  15.694 [dps] @ t=        1125208[msec]
Gyro values [b-fr]:  -0.415  -0.207 -15.985 | Abs.  15.992 [dps] @ t=        1126208[msec]
Gyro values [b-fr]:  -0.310  -0.269 -16.122 | Abs.  16.127 [dps] @ t=        1127408[msec]
Gyro values [b-fr]:  -0.255  -0.128 -16.007 | Abs.  16.010 [dps] @ t=        1128408[msec]
Gyro values [b-fr]:  -0.311  -0.174 -15.982 | Abs.  15.986 [dps] @ t=        1129608[msec]
Gyro values [b-fr]:  -0.549  -0.194 -16.072 | Abs.  16.083 [dps] @ t=        1130608[msec]
Gyro values [b-fr]:  -0.589  -0.249 -15.998 | Abs.  16.011 [dps] @ t=        1131808[msec]
Gyro values [b-fr]:  -0.583  -0.381 -16.016 | Abs.  16.031 [dps] @ t=        1132808[msec]
Gyro values [b-fr]:  -0.474  -0.367 -16.182 | Abs.  16.193 [dps] @ t=        1134008[msec]
Gyro values [b-fr]:  -0.387  -0.271 -16.222 | Abs.  16.228 [dps] @ t=        1135208[msec]
Gyro values [b-fr]:  -0.257  -0.189 -15.853 | Abs.  15.856 [dps] @ t=        1136208[msec]
Gyro values [b-fr]:  -0.360  -0.198 -15.508 | Abs.  15.514 [dps] @ t=        1137408[msec]
Gyro values [b-fr]:  -0.585  -0.089 -15.799 | Abs.  15.810 [dps] @ t=        1138408[msec]
Gyro values [b-fr]:  -0.620  -0.109 -16.049 | Abs.  16.062 [dps] @ t=        1139608[msec]
Gyro values [b-fr]:  -0.585  -0.216 -16.135 | Abs.  16.147 [dps] @ t=        1140608[msec]
Gyro values [b-fr]:  -0.381  -0.234 -16.285 | Abs.  16.291 [dps] @ t=        1141808[msec]
Gyro values [b-fr]:  -0.318  -0.433 -16.288 | Abs.  16.297 [dps] @ t=        1142808[msec]
Gyro values [b-fr]:  -0.486  -0.304 -16.179 | Abs.  16.189 [dps] @ t=        1144008[msec]
Gyro values [b-fr]:  -0.428  -0.087 -15.927 | Abs.  15.933 [dps] @ t=        1145208[msec]
Gyro values [b-fr]:  -0.416  -0.130 -15.816 | Abs.  15.822 [dps] @ t=        1146208[msec]
Gyro values [b-fr]:  -0.644  -0.128 -15.866 | Abs.  15.880 [dps] @ t=        1147408[msec]
Gyro values [b-fr]:  -0.528  -0.112 -15.872 | Abs.  15.882 [dps] @ t=        1148408[msec]
Gyro values [b-fr]:  -0.421  -0.294 -15.824 | Abs.  15.833 [dps] @ t=        1149608[msec]
Gyro values [b-fr]:  -0.379  -0.214 -15.830 | Abs.  15.836 [dps] @ t=        1150608[msec]
Gyro values [b-fr]:  -0.556  -0.255 -15.997 | Abs.  16.008 [dps] @ t=        1151808[msec]
Gyro values [b-fr]:  -0.408  -0.195 -16.130 | Abs.  16.136 [dps] @ t=        1152808[msec]
Gyro values [b-fr]:  -0.386  -0.040 -16.131 | Abs.  16.135 [dps] @ t=        1154008[msec]
Gyro values [b-fr]:  -0.644  -0.182 -16.004 | Abs.  16.018 [dps] @ t=        1155208[msec]
Gyro values [b-fr]:  -0.674  -0.240 -16.145 | Abs.  16.161 [dps] @ t=        1156208[msec]
Gyro values [b-fr]:  -0.433  -0.359 -16.276 | Abs.  16.286 [dps] @ t=        1157408[msec]
Gyro values [b-fr]:  -0.343  -0.443 -16.115 | Abs.  16.125 [dps] @ t=        1158408[msec]
Gyro values [b-fr]:  -0.281  -0.346 -16.096 | Abs.  16.102 [dps] @ t=        1159608[msec]
Gyro values [b-fr]:  -0.283  -0.307 -16.088 | Abs.  16.093 [dps] @ t=        1160608[msec]
Gyro values [b-fr]:  -0.498  -0.374 -16.030 | Abs.  16.042 [dps] @ t=        1161808[msec]
Gyro values [b-fr]:  -0.648  -0.185 -15.783 | Abs.  15.798 [dps] @ t=        1162808[msec]
Gyro values [b-fr]:  -0.555  -0.281 -15.846 | Abs.  15.858 [dps] @ t=        1164008[msec]
Gyro values [b-fr]:  -0.527  -0.175 -16.215 | Abs.  16.224 [dps] @ t=        1165208[msec]
Gyro values [b-fr]:  -0.513  -0.167 -16.194 | Abs.  16.203 [dps] @ t=        1166208[msec]
Gyro values [b-fr]:  -0.387  -0.400 -16.138 | Abs.  16.147 [dps] @ t=        1167408[msec]
Gyro values [b-fr]:  -0.348  -0.237 -16.240 | Abs.  16.245 [dps] @ t=        1168408[msec]
Gyro values [b-fr]:  -0.392  -0.122 -16.058 | Abs.  16.063 [dps] @ t=        1169608[msec]
Gyro values [b-fr]:  -0.493  -0.136 -15.983 | Abs.  15.991 [dps] @ t=        1170608[msec]
Gyro values [b-fr]:  -0.568  -0.166 -16.070 | Abs.  16.081 [dps] @ t=        1171808[msec]
Gyro values [b-fr]:  -0.360  -0.162 -15.930 | Abs.  15.935 [dps] @ t=        1172808[msec]
Gyro values [b-fr]:  -0.267  -0.296 -15.837 | Abs.  15.842 [dps] @ t=        1174008[msec]
Gyro values [b-fr]:  -0.382  -0.333 -15.866 | Abs.  15.874 [dps] @ t=        1175208[msec]
Gyro values [b-fr]:  -0.259  -0.282 -16.231 | Abs.  16.236 [dps] @ t=        1176208[msec]
Gyro values [b-fr]:  -0.329  -0.101 -16.079 | Abs.  16.083 [dps] @ t=        1177408[msec]
Gyro values [b-fr]:  -0.425  -0.262 -15.896 | Abs.  15.904 [dps] @ t=        1178408[msec]
Gyro values [b-fr]:  -0.440  -0.306 -15.638 | Abs.  15.647 [dps] @ t=        1179608[msec]
Gyro values [b-fr]:  -0.656  -0.170 -15.970 | Abs.  15.985 [dps] @ t=        1180608[msec]
Gyro values [b-fr]:  -0.546  -0.242 -16.282 | Abs.  16.293 [dps] @ t=        1181808[msec]
Gyro values [b-fr]:  -0.333  -0.409 -16.049 | Abs.  16.058 [dps] @ t=        1182808[msec]
Gyro values [b-fr]:  -0.296  -0.407 -15.877 | Abs.  15.885 [dps] @ t=        1184008[msec]
Gyro values [b-fr]:  -0.501  -0.370 -15.742 | Abs.  15.754 [dps] @ t=        1185208[msec]
Gyro values [b-fr]:  -0.586  -0.355 -15.508 | Abs.  15.523 [dps] @ t=        1186208[msec]
Gyro values [b-fr]:  -0.488  -0.301 -15.356 | Abs.  15.367 [dps] @ t=        1187408[msec]
Gyro values [b-fr]:  -0.472  -0.311 -15.615 | Abs.  15.625 [dps] @ t=        1188408[msec]
Gyro values [b-fr]:  -0.445  -0.258 -15.791 | Abs.  15.799 [dps] @ t=        1189608[msec]
Gyro values [b-fr]:  -0.371  -0.238 -16.006 | Abs.  16.012 [dps] @ t=        1190608[msec]
Gyro values [b-fr]:  -0.211  -0.385 -16.084 | Abs.  16.090 [dps] @ t=        1191808[msec]
Gyro values [b-fr]:  -0.136  -0.451 -15.753 | Abs.  15.760 [dps] @ t=        1192808[msec]
Gyro values [b-fr]:  -0.405  -0.272 -15.622 | Abs.  15.630 [dps] @ t=        1194008[msec]
Gyro values [b-fr]:  -0.392  -0.036 -15.522 | Abs.  15.527 [dps] @ t=        1195208[msec]
Gyro values [b-fr]:  -0.507  -0.064 -15.746 | Abs.  15.755 [dps] @ t=        1196208[msec]
Gyro values [b-fr]:  -0.525  -0.388 -16.220 | Abs.  16.233 [dps] @ t=        1197408[msec]
