                                                         Time |                                                          Attitude S/C Frame (SAT, J2000) |                                                                   Angular Momentum [Nms] |                                                                 Angular Velocity [rad/s] |                                                                                                                                                 q-Sliding Control | 
      Name |                       UTC |            dt [msec] |       q[0] |       q[1] |       q[2] |       q[3] |   ra [deg] |   de [deg] |   az [deg] |      hb[0] |      hb[1] |      hb[2] |      hi[0] |      hi[1] |      hi[2] |  abs [Nms] |      wb[0] |      wb[1] |      wb[2] |      wi[0] |      wi[1] |      wi[2] | abs [dg/s] |       q[0] |       q[1] |       q[2] |       q[3] |      wb[0] |      wb[1] |      wb[2] |     wb_dot[0] |     wb_dot[1] |     wb_dot[2] |  V |  T |  Error [deg] |  NADIR-SUN |  STact-SUN | STact-Earth | 
         0 |   2020/06/01 06:12:00.000 |                    0 |  0.9989610 | -0.0122720 | -0.0046950 | -0.0436310 | 358.618457 |  -0.598816 | 184.994546 |    0.19930 |   -0.01090 |   -0.14050 |    0.20096 |    0.01812 |    0.13735 |    0.24409 |    0.04582 |   -0.00217 |   -0.03544 |    0.04623 |    0.00410 |    0.03473 |    3.32124 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |      0.000 |      0.000 |       0.000 | 
         0 |   2020/06/01 06:12:00.100 |                  100 |  0.9988781 | -0.0105079 | -0.0046976 | -0.0459291 | 358.821807 |  -0.593020 | 185.259198 |    0.19931 |   -0.01084 |   -0.14049 |    0.20067 |   -0.00621 |    0.13882 |    0.24409 |    0.04582 |   -0.00216 |   -0.03544 |    0.04615 |   -0.00205 |    0.03501 |    3.32124 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.260 |    121.480 |      30.772 | 
         1 |   2020/06/01 06:12:00.200 |                  200 |  0.9987868 | -0.0087439 | -0.0046995 | -0.0482270 | 359.025111 |  -0.586207 | 185.523839 |    0.19932 |   -0.01077 |   -0.14049 |    0.20067 |   -0.00621 |    0.13882 |    0.24409 |    0.04582 |   -0.00214 |   -0.03544 |    0.04616 |   -0.00206 |    0.03501 |    3.32124 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.262 |    121.435 |      30.644 | 
         2 |   2020/06/01 06:12:00.300 |                  300 |  0.9986873 | -0.0069845 | -0.0047010 | -0.0505190 | 359.227834 |  -0.578426 | 185.787822 |    0.19825 |   -0.01071 |   -0.13966 |    0.19959 |   -0.00612 |    0.13802 |    0.24274 |    0.04558 |   -0.00213 |   -0.03523 |    0.04591 |   -0.00205 |    0.03480 |    3.30284 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.264 |    121.389 |      30.517 | 
         3 |   2020/06/01 06:12:00.400 |                  400 |  0.9985801 | -0.0052361 | -0.0047023 | -0.0527975 | 359.429255 |  -0.569764 | 186.050271 |    0.19719 |   -0.01064 |   -0.13884 |    0.19851 |   -0.00603 |    0.13722 |    0.24140 |    0.04533 |   -0.00211 |   -0.03502 |    0.04566 |   -0.00204 |    0.03460 |    3.28451 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.266 |    121.342 |      30.392 | 
         4 |   2020/06/01 06:12:00.500 |                  500 |  0.9984655 | -0.0035017 | -0.0047034 | -0.0550609 | 359.629011 |  -0.560250 | 186.311002 |    0.19565 |   -0.01052 |   -0.13731 |    0.19695 |   -0.00591 |    0.13572 |    0.23926 |    0.04498 |   -0.00209 |   -0.03464 |    0.04530 |   -0.00202 |    0.03422 |    3.25492 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.268 |    121.294 |      30.268 | 
         5 |   2020/06/01 06:12:00.600 |                  600 |  0.9983437 | -0.0017859 | -0.0047045 | -0.0573054 | 359.826572 |  -0.549937 | 186.569573 |    0.19406 |   -0.01042 |   -0.13594 |    0.19534 |   -0.00580 |    0.13437 |    0.23716 |    0.04461 |   -0.00207 |   -0.03429 |    0.04493 |   -0.00201 |    0.03388 |    3.22620 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.269 |    121.245 |      30.145 | 
         6 |   2020/06/01 06:12:00.700 |                  700 |  0.9982150 | -0.0000883 | -0.0047053 | -0.0595311 |   0.021996 |  -0.538834 | 186.825982 |    0.19247 |   -0.01027 |   -0.13436 |    0.19373 |   -0.00569 |    0.13281 |    0.23495 |    0.04424 |   -0.00204 |   -0.03390 |    0.04456 |   -0.00199 |    0.03348 |    3.19566 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.271 |    121.195 |      30.024 | 
         7 |   2020/06/01 06:12:00.800 |                  800 |  0.9980797 |  0.0015893 | -0.0047057 | -0.0617379 |   0.215068 |  -0.526964 | 187.080220 |    0.19088 |   -0.01014 |   -0.13276 |    0.19211 |   -0.00558 |    0.13123 |    0.23273 |    0.04388 |   -0.00201 |   -0.03350 |    0.04419 |   -0.00197 |    0.03309 |    3.16491 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.273 |    121.145 |      29.904 | 
         8 |   2020/06/01 06:12:00.900 |                  900 |  0.9979380 |  0.0032468 | -0.0047057 | -0.0639257 |   0.405783 |  -0.514349 | 187.332288 |    0.18929 |   -0.00998 |   -0.13115 |    0.19050 |   -0.00550 |    0.12965 |    0.23050 |    0.04351 |   -0.00197 |   -0.03310 |    0.04382 |   -0.00196 |    0.03269 |    3.13415 |  0.0000000 |  0.0000000 |  0.0000000 |  0.0000000 |   0.000000 |   0.000000 |   0.000000 |      0.000000 |      0.000000 |      0.000000 |  1 |  1 |            - |    127.275 |    121.095 |      29.785 | 
